,record_id,supplier_id,supplier_name,item_id,item_description,purcahse_order_id,order_date,promised_delivery_date,actual_delivery_date,promised_lead_time_days,actual_lead_time_days,lead_time_variance_days,quantity_ordered,quantity_received,on_time_delivery,lead_reason,order_status,buyer_id,buyer_name
129,REC-000130,SUP-013,Harbor Industrial Supply,ITM-0035,Stainless Tube 25mm 6m,PO-100129,2026-02-09,2026-03-09,2026-03-06,28,25,-3,1074,1074,true,On time,delivered,BUY-02,Marco Rossi
130,REC-000131,SUP-016,Maple Composites,ITM-0038,Insulation Foam Sheet,PO-100130,2026-02-21,2026-03-01,2026-02-24,8,3,-5,663,663,true,On time,delivered,BUY-01,Aisha Khan
131,REC-000132,SUP-016,Maple Composites,ITM-0018,Welding Rod 3.2mm 5kg,PO-100131,2024-04-26,2024-05-15,2024-05-13,19,17,-2,373,373,true,On time,delivered,BUY-10,Omar Haddad
132,REC-000133,SUP-029,Cobalt Connectors,ITM-0023,Steel Bracket L-Type,PO-100132,2024-07-01,2024-08-14,,44,,,1750,0,,pending delivery,in transit,BUY-05,Priya Nair
133,REC-000134,SUP-001,Atlas Components Ltd,ITM-0037,Rubber Mat 1x1m,PO-100133,2024-10-10,2024-10-15,2024-10-20,5,10,5,152,152,false,transport/carrier delay,delivered,BUY-02,Marco Rossi
134,REC-000135,SUP-026,Zenith Motors,ITM-0006,Pneumatic Fitting 1/4in,PO-100134,2024-11-22,2024-12-30,2024-12-09,38,17,-21,943,943,true,On time,delivered,BUY-12,Liam Murphy
135,REC-000136,SUP-017,Nexus Semiconductors,ITM-0038,Insulation Foam Sheet,PO-100135,2025-08-02,2025-08-21,2025-08-20,19,18,-1,1249,1249,true,On time,delivered,BUY-01,Aisha Khan
136,REC-000137,SUP-007,Orion Packaging,ITM-0022,Hard Hat White,PO-100136,2025-10-26,2025-11-17,2025-11-19,22,24,2,14,14,false,transport/carrier delay,delivered,BUY-12,Liam Murphy
137,REC-000138,SUP-014,Ironclad Metals,ITM-0006,Pneumatic Fitting 1/4in,PO-100137,2024-05-14,2024-06-05,2024-06-07,22,24,2,999,999,false,transport/carrier delay,delivered,BUY-10,Omar Haddad
138,REC-000139,SUP-022,Titan Castings,ITM-0013,Resistor Kit 1/4W,PO-100138,2024-03-05,2024-04-06,2024-04-03,32,29,-3,951,951,true,On time,delivered,BUY-06,Diego Alvarez
139,REC-000140,SUP-003,Nordic Steel Works,ITM-0040,Label Roll Thermal,PO-100139,2026-05-20,2026-06-28,2026-07-03,39,44,5,905,857,false,production backlog,partially delivered,BUY-09,Mei Chen
140,REC-000141,SUP-020,Redwood Timber Co,ITM-0013,Resistor Kit 1/4W,PO-100140,2026-04-14,2026-05-03,2026-05-08,19,24,5,1472,1472,false,quality hold/inspection,delivered,BUY-03,Lena Schmidt
141,REC-000142,SUP-018,Pinnacle Hydraulics,ITM-0030,Gear Reducer 1:20,PO-100141,2024-06-15,2024-07-27,2024-07-26,42,41,-1,1298,1298,true,On time,delivered,BUY-07,Sara Lindqvist
142,REC-000143,SUP-008,Crescent Chemicals,ITM-0034,Coolant Concentrate 20L,PO-100142,2024-04-25,2024-05-03,2024-05-08,8,13,5,1315,806,false,production backlog,partially delivered,BUY-02,Marco Rossi
143,REC-000144,SUP-006,Summit Electronics,ITM-0032,V-Belt A-Section,PO-100143,2026-01-28,2026-03-12,,43,,,1828,0,,pending delivery,in transit,BUY-02,Marco Rossi
144,REC-000145,SUP-021,Sterling Valves,ITM-0012,Capacitor 470uF 25V,PO-100144,2024-05-02,2024-06-07,2024-06-11,36,40,4,569,569,false,quality hold/inspection,delivered,BUY-11,Nina Petrova
145,REC-000146,SUP-017,Nexus Semiconductors,ITM-0031,Timing Belt HTD-5M,PO-100145,2025-10-18,2025-12-01,2025-11-24,44,37,-7,517,483,true,On time,partially delivered,BUY-09,Mei Chen
146,REC-000147,SUP-014,Ironclad Metals,ITM-0022,Hard Hat White,PO-100146,2025-09-09,2025-09-14,2025-09-15,5,6,1,1752,1711,false,customs/clearance delay,partially delivered,BUY-09,Mei Chen
147,REC-000148,SUP-010,Granite Tooling,ITM-0022,Hard Hat White,PO-100147,2025-03-07,2025-04-09,2025-04-09,33,33,0,1628,1588,true,On time,partially delivered,BUY-11,Nina Petrova
148,REC-000149,SUP-011,Evergreen Textiles,ITM-0040,Label Roll Thermal,PO-100148,2025-10-18,2025-10-23,2025-10-21,5,3,-2,474,474,true,On time,delivered,BUY-12,Liam Murphy
149,REC-000150,SUP-023,Umbra Coatings,ITM-0026,Pressure Gauge 0-10bar,PO-100149,2024-09-11,2024-10-11,2024-10-15,30,34,4,929,929,false,weather disruption,delivered,BUY-08,John O'Brien
150,REC-000151,SUP-009,Pioneer Bearings,ITM-0023,Steel Bracket L-Type,PO-100150,2024-02-04,2024-02-15,2024-02-12,11,8,-3,679,679,true,On time,delivered,BUY-11,Nina Petrova
151,REC-000152,SUP-021,Sterling Valves,ITM-0025,Caster Wheel 100mm,PO-100151,2025-01-31,2025-02-09,2025-02-11,9,11,2,1998,1998,false,transport/carrier delay,delivered,BUY-10,Omar Haddad
152,REC-000153,SUP-019,Quartz Glassworks,ITM-0038,Insulation Foam Sheet,PO-100152,2026-05-14,2026-05-30,2026-06-03,16,20,4,1878,1878,false,raw material shortage,delivered,BUY-11,Nina Petrova
153,REC-000154,SUP-007,Orion Packaging,ITM-0019,Lubricant Grease 5kg,PO-100153,2025-05-22,2025-05-31,2025-05-30,9,8,-1,361,361,true,On time,delivered,BUY-08,John O'Brien
154,REC-000155,SUP-009,Pioneer Bearings,ITM-0032,V-Belt A-Section,PO-100154,2024-01-21,2024-02-21,2024-02-16,31,26,-5,1999,1627,true,On time,partially delivered,BUY-09,Mei Chen
155,REC-000156,SUP-004,BlueRiver Plastics,ITM-0013,Resistor Kit 1/4W,PO-100155,2024-06-05,2024-06-23,,18,,,855,0,,cancelled,cancelled,BUY-12,Liam Murphy
156,REC-000157,SUP-012,Falcon Aerospace Parts,ITM-0031,Timing Belt HTD-5M,PO-100156,2025-08-23,2025-09-11,2025-09-18,19,26,7,1666,1666,false,raw material shortage,delivered,BUY-09,Mei Chen
157,REC-000158,SUP-023,Umbra Coatings,ITM-0033,Filter Cartridge 10in,PO-100157,2025-03-08,2025-03-19,2025-03-22,11,14,3,542,285,false,raw material shortage,partially delivered,BUY-09,Mei Chen
158,REC-000159,SUP-010,Granite Tooling,ITM-0012,Capacitor 470uF 25V,PO-100158,2024-07-18,2024-07-25,2024-07-27,7,9,2,11,11,false,customs/clearance delay,delivered,BUY-07,Sara Lindqvist
159,REC-000160,SUP-020,Redwood Timber Co,ITM-0033,Filter Cartridge 10in,PO-100159,2024-05-28,2024-06-16,2024-06-17,19,20,1,139,139,false,production backlog,delivered,BUY-09,Mei Chen
160,REC-000161,SUP-002,Meridian Logistics,ITM-0017,Cutting Disc 125mm,PO-100160,2025-06-01,2025-06-22,2025-06-29,21,28,7,522,522,false,quality hold/inspection,delivered,BUY-02,Marco Rossi
161,REC-000162,SUP-014,Ironclad Metals,ITM-0015,Gasket Set EPDM,PO-100161,2024-07-12,2024-08-02,,21,,,1301,0,,pending delivery,in transit,BUY-04,Tom Becker
162,REC-000163,SUP-023,Umbra Coatings,ITM-0004,Mild Steel Plate 5mm,PO-100162,2024-06-04,2024-06-22,2024-07-01,18,27,9,97,97,false,production backlog,delivered,BUY-10,Omar Haddad
163,REC-000164,SUP-030,Delta Pneumatics,ITM-0008,Roller Bearing NU205,PO-100163,2024-06-10,2024-07-03,2024-07-05,23,25,2,1752,1752,false,weather disruption,delivered,BUY-08,John O'Brien
164,REC-000165,SUP-007,Orion Packaging,ITM-0027,Solenoid Valve 24V,PO-100164,2024-09-11,2024-10-24,2024-10-23,43,42,-1,22,22,true,On time,delivered,BUY-06,Diego Alvarez
165,REC-000166,SUP-017,Nexus Semiconductors,ITM-0002,M10 Flange Nut Zinc,PO-100165,2024-02-13,2024-03-10,2024-03-07,26,23,-3,750,750,true,On time,delivered,BUY-06,Diego Alvarez
166,REC-000167,SUP-015,Lumen Optics,ITM-0034,Coolant Concentrate 20L,PO-100166,2025-05-09,2025-05-28,2025-05-28,19,19,0,1512,1512,true,On time,delivered,BUY-02,Marco Rossi
167,REC-000168,SUP-009,Pioneer Bearings,ITM-0028,Proximity Sensor M12,PO-100167,2024-02-28,2024-04-07,2024-04-04,39,36,-3,28,28,true,On time,delivered,BUY-08,John O'Brien
168,REC-000169,SUP-007,Orion Packaging,ITM-0036,Brass Fitting 1/2in,PO-100168,2025-02-18,2025-02-26,,8,,,1683,0,,cancelled,cancelled,BUY-11,Nina Petrova
169,REC-000170,SUP-029,Cobalt Connectors,ITM-0009,PVC Pipe 50mm 3m,PO-100169,2025-05-31,2025-06-24,2025-06-19,24,19,-5,609,337,true,On time,partially delivered,BUY-05,Priya Nair
170,REC-000171,SUP-021,Sterling Valves,ITM-0017,Cutting Disc 125mm,PO-100170,2024-06-04,2024-06-30,2024-07-02,26,28,2,1307,1307,false,production backlog,delivered,BUY-02,Marco Rossi
171,REC-000172,SUP-016,Maple Composites,ITM-0014,LED Module 12V White,PO-100171,2025-01-03,2025-01-18,2025-01-20,15,17,2,418,418,false,production backlog,delivered,BUY-05,Priya Nair
172,REC-000173,SUP-004,BlueRiver Plastics,ITM-0005,Hydraulic Hose 1in 10m,PO-100172,2025-06-29,2025-07-22,2025-07-20,23,21,-2,406,406,true,On time,delivered,BUY-01,Aisha Khan
173,REC-000174,SUP-026,Zenith Motors,ITM-0040,Label Roll Thermal,PO-100173,2024-02-08,2024-03-02,2024-03-02,23,23,0,134,134,true,On time,delivered,BUY-02,Marco Rossi
174,REC-000175,SUP-010,Granite Tooling,ITM-0007,Ball Bearing 6204-2RS,PO-100174,2026-05-12,2026-06-18,2026-06-12,37,31,-6,1066,1066,true,On time,delivered,BUY-12,Liam Murphy
175,REC-000176,SUP-015,Lumen Optics,ITM-0024,Hinge Stainless 100mm,PO-100175,2024-04-22,2024-05-16,,24,,,441,0,,pending delivery,in transit,BUY-10,Omar Haddad
176,REC-000177,SUP-006,Summit Electronics,ITM-0035,Stainless Tube 25mm 6m,PO-100176,2025-06-03,2025-06-09,2025-06-17,6,14,8,1337,1315,false,transport/carrier delay,partially delivered,BUY-10,Omar Haddad
177,REC-000178,SUP-022,Titan Castings,ITM-0031,Timing Belt HTD-5M,PO-100177,2026-05-03,2026-05-21,2026-05-21,18,18,0,1140,1140,true,On time,delivered,BUY-05,Priya Nair
178,REC-000179,SUP-012,Falcon Aerospace Parts,ITM-0039,Cable Tie 200mm 100pk,PO-100178,2025-04-13,2025-05-02,2025-05-05,19,22,3,198,198,false,production backlog,delivered,BUY-04,Tom Becker
179,REC-000180,SUP-007,Orion Packaging,ITM-0023,Steel Bracket L-Type,PO-100179,2025-10-27,2025-12-02,2025-12-04,36,38,2,1057,1057,false,production backlog,delivered,BUY-10,Omar Haddad
180,REC-000181,SUP-030,Delta Pneumatics,ITM-0027,Solenoid Valve 24V,PO-100180,2024-04-01,2024-05-14,2024-05-15,43,44,1,1849,867,false,incorrect documentation,partially delivered,BUY-01,Aisha Khan
181,REC-000182,SUP-021,Sterling Valves,ITM-0023,Steel Bracket L-Type,PO-100181,2024-01-24,2024-02-01,2024-02-06,8,13,5,310,310,false,production backlog,delivered,BUY-11,Nina Petrova
182,REC-000183,SUP-018,Pinnacle Hydraulics,ITM-0038,Insulation Foam Sheet,PO-100182,2026-05-20,2026-06-07,2026-06-03,18,14,-4,752,752,true,On time,delivered,BUY-10,Omar Haddad
183,REC-000184,SUP-014,Ironclad Metals,ITM-0006,Pneumatic Fitting 1/4in,PO-100183,2024-07-31,2024-08-25,2024-08-28,25,28,3,1932,1932,false,incorrect documentation,delivered,BUY-10,Omar Haddad
184,REC-000185,SUP-018,Pinnacle Hydraulics,ITM-0036,Brass Fitting 1/2in,PO-100184,2024-11-25,2024-12-23,2024-12-12,28,17,-11,785,749,true,On time,partially delivered,BUY-12,Liam Murphy
185,REC-000186,SUP-025,Westwind Cables,ITM-0017,Cutting Disc 125mm,PO-100185,2024-11-21,2025-01-03,2025-01-04,43,44,1,266,266,false,supplier capacity shortage,delivered,BUY-11,Nina Petrova
186,REC-000187,SUP-022,Titan Castings,ITM-0030,Gear Reducer 1:20,PO-100186,2026-04-08,2026-05-18,2026-05-17,40,39,-1,1046,1046,true,On time,delivered,BUY-04,Tom Becker
187,REC-000188,SUP-019,Quartz Glassworks,ITM-0005,Hydraulic Hose 1in 10m,PO-100187,2024-04-30,2024-05-20,2024-05-15,20,15,-5,89,89,true,On time,delivered,BUY-09,Mei Chen
188,REC-000189,SUP-014,Ironclad Metals,ITM-0023,Steel Bracket L-Type,PO-100188,2024-06-12,2024-06-24,2024-06-21,12,9,-3,202,202,true,On time,delivered,BUY-02,Marco Rossi
189,REC-000190,SUP-013,Harbor Industrial Supply,ITM-0010,Copper Wire 2.5mm 100m,PO-100189,2026-05-22,2026-05-30,2026-06-03,8,12,4,1744,1744,false,customs/clearance delay,delivered,BUY-12,Liam Murphy
190,REC-000191,SUP-002,Meridian Logistics,ITM-0022,Hard Hat White,PO-100190,2026-05-25,2026-06-14,2026-06-27,20,33,13,1325,1197,false,supplier capacity shortage,partially delivered,BUY-03,Lena Schmidt
191,REC-000192,SUP-010,Granite Tooling,ITM-0031,Timing Belt HTD-5M,PO-100191,2024-01-05,2024-02-13,2024-02-14,39,40,1,1671,1589,false,quality hold/inspection,partially delivered,BUY-12,Liam Murphy
192,REC-000193,SUP-012,Falcon Aerospace Parts,ITM-0018,Welding Rod 3.2mm 5kg,PO-100192,2024-02-25,2024-04-10,2024-04-04,45,39,-6,584,530,true,On time,partially delivered,BUY-10,Omar Haddad
193,REC-000194,SUP-010,Granite Tooling,ITM-0035,Stainless Tube 25mm 6m,PO-100193,2025-09-15,2025-09-25,2025-09-18,10,3,-7,262,262,true,On time,delivered,BUY-09,Mei Chen
194,REC-000195,SUP-030,Delta Pneumatics,ITM-0032,V-Belt A-Section,PO-100194,2025-04-25,2025-05-12,2025-05-14,17,19,2,1932,1932,false,incorrect documentation,delivered,BUY-12,Liam Murphy
195,REC-000196,SUP-014,Ironclad Metals,ITM-0035,Stainless Tube 25mm 6m,PO-100195,2024-06-20,2024-07-10,,20,,,789,0,,pending delivery,in transit,BUY-06,Diego Alvarez
196,REC-000197,SUP-022,Titan Castings,ITM-0023,Steel Bracket L-Type,PO-100196,2024-06-19,2024-07-25,2024-07-22,36,33,-3,1862,984,true,On time,partially delivered,BUY-01,Aisha Khan
197,REC-000198,SUP-026,Zenith Motors,ITM-0012,Capacitor 470uF 25V,PO-100197,2024-12-03,2025-01-17,2025-01-18,45,46,1,1036,1036,false,weather disruption,delivered,BUY-03,Lena Schmidt
198,REC-000199,SUP-002,Meridian Logistics,ITM-0007,Ball Bearing 6204-2RS,PO-100198,2024-02-25,2024-04-08,2024-04-04,43,39,-4,305,305,true,On time,delivered,BUY-05,Priya Nair
199,REC-000200,SUP-018,Pinnacle Hydraulics,ITM-0009,PVC Pipe 50mm 3m,PO-100199,2025-12-06,2025-12-31,2026-01-03,25,28,3,1307,1307,false,production backlog,delivered,BUY-10,Omar Haddad
200,REC-000201,SUP-015,Lumen Optics,ITM-0017,Cutting Disc 125mm,PO-100200,2026-01-18,2026-02-09,2026-02-14,22,27,5,763,763,false,weather disruption,delivered,BUY-03,Lena Schmidt
201,REC-000202,SUP-010,Granite Tooling,ITM-0027,Solenoid Valve 24V,PO-100201,2025-08-15,2025-08-27,2025-08-30,12,15,3,1618,1483,false,raw material shortage,partially delivered,BUY-03,Lena Schmidt
202,REC-000203,SUP-025,Westwind Cables,ITM-0024,Hinge Stainless 100mm,PO-100202,2024-01-28,2024-02-22,2024-02-25,25,28,3,1021,1021,false,weather disruption,delivered,BUY-02,Marco Rossi
203,REC-000204,SUP-015,Lumen Optics,ITM-0017,Cutting Disc 125mm,PO-100203,2024-02-28,2024-04-12,2024-04-04,44,36,-8,488,459,true,On time,partially delivered,BUY-12,Liam Murphy
204,REC-000205,SUP-007,Orion Packaging,ITM-0019,Lubricant Grease 5kg,PO-100204,2026-03-01,2026-03-26,2026-03-27,25,26,1,1437,1437,false,supplier capacity shortage,delivered,BUY-01,Aisha Khan
205,REC-000206,SUP-028,Borealis Polymers,ITM-0019,Lubricant Grease 5kg,PO-100205,2025-11-09,2025-12-10,2025-12-16,31,37,6,1266,1266,false,incorrect documentation,delivered,BUY-06,Diego Alvarez
206,REC-000207,SUP-029,Cobalt Connectors,ITM-0015,Gasket Set EPDM,PO-100206,2025-01-09,2025-02-07,2025-02-06,29,28,-1,745,745,true,On time,delivered,BUY-09,Mei Chen
207,REC-000208,SUP-016,Maple Composites,ITM-0030,Gear Reducer 1:20,PO-100207,2024-04-25,2024-05-14,2024-05-18,19,23,4,754,754,false,quality hold/inspection,delivered,BUY-08,John O'Brien
208,REC-000209,SUP-017,Nexus Semiconductors,ITM-0004,Mild Steel Plate 5mm,PO-100208,2024-09-06,2024-10-20,2024-10-19,44,43,-1,403,403,true,On time,delivered,BUY-02,Marco Rossi
209,REC-000210,SUP-022,Titan Castings,ITM-0007,Ball Bearing 6204-2RS,PO-100209,2025-10-23,2025-11-26,2025-11-24,34,32,-2,722,722,true,On time,delivered,BUY-10,Omar Haddad
210,REC-000211,SUP-008,Crescent Chemicals,ITM-0016,O-Ring Kit Nitrile,PO-100210,2025-12-31,2026-01-10,,10,,,1413,0,,cancelled,cancelled,BUY-04,Tom Becker
211,REC-000212,SUP-013,Harbor Industrial Supply,ITM-0010,Copper Wire 2.5mm 100m,PO-100211,2024-04-06,2024-05-13,2024-05-09,37,33,-4,1632,1632,true,On time,delivered,BUY-06,Diego Alvarez
212,REC-000213,SUP-011,Evergreen Textiles,ITM-0008,Roller Bearing NU205,PO-100212,2024-10-29,2024-11-10,2024-11-08,12,10,-2,790,790,true,On time,delivered,BUY-05,Priya Nair
213,REC-000214,SUP-006,Summit Electronics,ITM-0015,Gasket Set EPDM,PO-100213,2025-09-09,2025-09-19,2025-09-24,10,15,5,613,613,false,supplier capacity shortage,delivered,BUY-04,Tom Becker
214,REC-000215,SUP-028,Borealis Polymers,ITM-0020,Epoxy Adhesive 1kg,PO-100214,2025-07-20,2025-08-19,2025-08-07,30,18,-12,1251,1215,true,On time,partially delivered,BUY-05,Priya Nair
215,REC-000216,SUP-030,Delta Pneumatics,ITM-0019,Lubricant Grease 5kg,PO-100215,2024-03-12,2024-04-17,2024-04-18,36,37,1,1166,1166,false,transport/carrier delay,delivered,BUY-05,Priya Nair
216,REC-000217,SUP-023,Umbra Coatings,ITM-0026,Pressure Gauge 0-10bar,PO-100216,2025-09-20,2025-10-29,2025-11-12,39,53,14,458,448,false,supplier capacity shortage,partially delivered,BUY-07,Sara Lindqvist
217,REC-000218,SUP-027,Apex Gaskets,ITM-0013,Resistor Kit 1/4W,PO-100217,2024-12-19,2024-12-29,2024-12-28,10,9,-1,1646,1646,true,On time,delivered,BUY-02,Marco Rossi
218,REC-000219,SUP-019,Quartz Glassworks,ITM-0012,Capacitor 470uF 25V,PO-100218,2024-05-29,2024-06-11,2024-06-06,13,8,-5,1496,1496,true,On time,delivered,BUY-08,John O'Brien
219,REC-000220,SUP-002,Meridian Logistics,ITM-0028,Proximity Sensor M12,PO-100219,2024-06-18,2024-07-20,2024-07-24,32,36,4,459,459,false,production backlog,delivered,BUY-01,Aisha Khan
220,REC-000221,SUP-009,Pioneer Bearings,ITM-0040,Label Roll Thermal,PO-100220,2026-04-26,2026-06-03,2026-05-29,38,33,-5,559,559,true,On time,delivered,BUY-09,Mei Chen
221,REC-000222,SUP-030,Delta Pneumatics,ITM-0028,Proximity Sensor M12,PO-100221,2025-06-19,2025-07-04,2025-07-05,15,16,1,1546,1546,false,quality hold/inspection,delivered,BUY-06,Diego Alvarez
222,REC-000223,SUP-001,Atlas Components Ltd,ITM-0023,Steel Bracket L-Type,PO-100222,2026-05-25,2026-06-13,2026-06-17,19,23,4,425,425,false,raw material shortage,delivered,BUY-07,Sara Lindqvist
223,REC-000224,SUP-005,Vanguard Fasteners,ITM-0014,LED Module 12V White,PO-100223,2024-07-27,2024-08-31,2024-08-19,35,23,-12,385,385,true,On time,delivered,BUY-05,Priya Nair
224,REC-000225,SUP-023,Umbra Coatings,ITM-0022,Hard Hat White,PO-100224,2024-04-28,2024-05-29,2024-05-29,31,31,0,1967,1813,true,On time,partially delivered,BUY-11,Nina Petrova
225,REC-000226,SUP-030,Delta Pneumatics,ITM-0004,Mild Steel Plate 5mm,PO-100225,2024-12-30,2025-02-03,2025-02-07,35,39,4,942,942,false,raw material shortage,delivered,BUY-09,Mei Chen
226,REC-000227,SUP-009,Pioneer Bearings,ITM-0032,V-Belt A-Section,PO-100226,2026-03-10,2026-03-23,2026-03-19,13,9,-4,1277,1277,true,On time,delivered,BUY-03,Lena Schmidt
227,REC-000228,SUP-008,Crescent Chemicals,ITM-0038,Insulation Foam Sheet,PO-100227,2024-12-20,2025-01-15,2025-01-28,26,39,13,812,431,false,production backlog,partially delivered,BUY-01,Aisha Khan
228,REC-000229,SUP-024,Vertex Adhesives,ITM-0018,Welding Rod 3.2mm 5kg,PO-100228,2024-12-11,2025-01-17,2025-01-25,37,45,8,1836,1836,false,weather disruption,delivered,BUY-08,John O'Brien
229,REC-000230,SUP-002,Meridian Logistics,ITM-0035,Stainless Tube 25mm 6m,PO-100229,2024-09-26,2024-10-23,,27,,,1080,0,,pending delivery,in transit,BUY-11,Nina Petrova
230,REC-000231,SUP-023,Umbra Coatings,ITM-0032,V-Belt A-Section,PO-100230,2026-04-06,2026-04-17,2026-04-12,11,6,-5,1951,1951,true,On time,delivered,BUY-02,Marco Rossi
231,REC-000232,SUP-014,Ironclad Metals,ITM-0033,Filter Cartridge 10in,PO-100231,2025-10-22,2025-11-02,2025-11-03,11,12,1,853,853,false,supplier capacity shortage,delivered,BUY-01,Aisha Khan
232,REC-000233,SUP-016,Maple Composites,ITM-0035,Stainless Tube 25mm 6m,PO-100232,2026-04-26,2026-05-17,2026-05-11,21,15,-6,1828,1828,true,On time,delivered,BUY-07,Sara Lindqvist
233,REC-000234,SUP-008,Crescent Chemicals,ITM-0032,V-Belt A-Section,PO-100233,2025-02-03,2025-02-15,2025-02-19,12,16,4,1922,1790,false,customs/clearance delay,partially delivered,BUY-07,Sara Lindqvist
234,REC-000235,SUP-020,Redwood Timber Co,ITM-0019,Lubricant Grease 5kg,PO-100234,2026-05-19,2026-05-26,2026-05-26,7,7,0,1199,1199,true,On time,delivered,BUY-08,John O'Brien
235,REC-000236,SUP-013,Harbor Industrial Supply,ITM-0016,O-Ring Kit Nitrile,PO-100235,2026-05-13,2026-06-12,2026-06-14,30,32,2,1562,1562,false,customs/clearance delay,delivered,BUY-08,John O'Brien
236,REC-000237,SUP-009,Pioneer Bearings,ITM-0038,Insulation Foam Sheet,PO-100236,2025-02-05,2025-03-16,2025-03-12,39,35,-4,448,448,true,On time,delivered,BUY-08,John O'Brien
237,REC-000238,SUP-015,Lumen Optics,ITM-0019,Lubricant Grease 5kg,PO-100237,2025-10-23,2025-11-11,2025-11-08,19,16,-3,71,71,true,On time,delivered,BUY-01,Aisha Khan
238,REC-000239,SUP-011,Evergreen Textiles,ITM-0022,Hard Hat White,PO-100238,2024-07-15,2024-07-30,2024-07-24,15,9,-6,1495,1495,true,On time,delivered,BUY-09,Mei Chen
239,REC-000240,SUP-013,Harbor Industrial Supply,ITM-0032,V-Belt A-Section,PO-100239,2024-12-25,2025-01-09,2025-01-02,15,8,-7,64,64,true,On time,delivered,BUY-10,Omar Haddad
240,REC-000241,SUP-012,Falcon Aerospace Parts,ITM-0038,Insulation Foam Sheet,PO-100240,2024-04-18,2024-05-14,2024-05-27,26,39,13,905,905,false,production backlog,delivered,BUY-09,Mei Chen
241,REC-000242,SUP-025,Westwind Cables,ITM-0014,LED Module 12V White,PO-100241,2025-05-24,2025-07-07,2025-07-09,44,46,2,533,533,false,incorrect documentation,delivered,BUY-01,Aisha Khan
242,REC-000243,SUP-025,Westwind Cables,ITM-0012,Capacitor 470uF 25V,PO-100242,2024-06-14,2024-06-27,,13,,,249,0,,pending delivery,in transit,BUY-03,Lena Schmidt
243,REC-000244,SUP-002,Meridian Logistics,ITM-0004,Mild Steel Plate 5mm,PO-100243,2025-04-10,2025-04-18,2025-04-18,8,8,0,1657,1657,true,On time,delivered,BUY-12,Liam Murphy
244,REC-000245,SUP-013,Harbor Industrial Supply,ITM-0013,Resistor Kit 1/4W,PO-100244,2026-04-07,2026-05-08,2026-05-08,31,31,0,1429,1429,true,On time,delivered,BUY-11,Nina Petrova
245,REC-000246,SUP-003,Nordic Steel Works,ITM-0017,Cutting Disc 125mm,PO-100245,2025-01-06,2025-02-12,2025-02-15,37,40,3,315,315,false,incorrect documentation,delivered,BUY-03,Lena Schmidt
246,REC-000247,SUP-021,Sterling Valves,ITM-0035,Stainless Tube 25mm 6m,PO-100246,2024-03-09,2024-04-19,2024-04-22,41,44,3,421,390,false,customs/clearance delay,partially delivered,BUY-08,John O'Brien
247,REC-000248,SUP-030,Delta Pneumatics,ITM-0010,Copper Wire 2.5mm 100m,PO-100247,2024-09-07,2024-09-23,2024-09-26,16,19,3,1248,1248,false,customs/clearance delay,delivered,BUY-07,Sara Lindqvist
248,REC-000249,SUP-021,Sterling Valves,ITM-0027,Solenoid Valve 24V,PO-100248,2025-08-24,2025-09-20,2025-09-20,27,27,0,1505,844,true,On time,partially delivered,BUY-08,John O'Brien
249,REC-000250,SUP-014,Ironclad Metals,ITM-0018,Welding Rod 3.2mm 5kg,PO-100249,2025-10-16,2025-11-24,2025-11-25,39,40,1,83,83,false,production backlog,delivered,BUY-04,Tom Becker
250,REC-000251,SUP-022,Titan Castings,ITM-0038,Insulation Foam Sheet,PO-100250,2025-07-19,2025-08-13,2025-08-12,25,24,-1,1208,855,true,On time,partially delivered,BUY-12,Liam Murphy
251,REC-000252,SUP-021,Sterling Valves,ITM-0021,Safety Gloves Nitrile L,PO-100251,2025-05-06,2025-06-17,2025-06-21,42,46,4,942,942,false,transport/carrier delay,delivered,BUY-06,Diego Alvarez
252,REC-000253,SUP-007,Orion Packaging,ITM-0004,Mild Steel Plate 5mm,PO-100252,2024-01-01,2024-01-30,2024-02-02,29,32,3,739,543,false,production backlog,partially delivered,BUY-02,Marco Rossi
253,REC-000254,SUP-030,Delta Pneumatics,ITM-0005,Hydraulic Hose 1in 10m,PO-100253,2024-12-19,2025-01-31,2025-02-01,43,44,1,1257,1257,false,customs/clearance delay,delivered,BUY-02,Marco Rossi
254,REC-000255,SUP-023,Umbra Coatings,ITM-0010,Copper Wire 2.5mm 100m,PO-100254,2026-03-09,2026-03-24,2026-03-28,15,19,4,321,321,false,production backlog,delivered,BUY-02,Marco Rossi
255,REC-000256,SUP-022,Titan Castings,ITM-0014,LED Module 12V White,PO-100255,2025-07-16,2025-07-31,2025-07-30,15,14,-1,1169,1169,true,On time,delivered,BUY-04,Tom Becker
256,REC-000257,SUP-011,Evergreen Textiles,ITM-0029,Motor 0.75kW 3ph,PO-100256,2024-10-11,2024-11-20,2024-11-22,40,42,2,415,415,false,incorrect documentation,delivered,BUY-08,John O'Brien
257,REC-000258,SUP-014,Ironclad Metals,ITM-0040,Label Roll Thermal,PO-100257,2026-05-17,2026-06-09,2026-06-11,23,25,2,1168,1168,false,production backlog,delivered,BUY-03,Lena Schmidt
258,REC-000259,SUP-003,Nordic Steel Works,ITM-0007,Ball Bearing 6204-2RS,PO-100258,2024-12-29,2025-01-23,2025-01-27,25,29,4,822,822,false,weather disruption,delivered,BUY-07,Sara Lindqvist
